Diameter_um,TerminalVelocity_m_s
513,2.0740653511884046
514,2.0783224074269713
515,2.0825786772105523
516,2.0868341596655258
517,2.0910888538918706
518,2.095342758963248
519,2.099595873927131
520,2.1038481978048886
521,2.1080997295918986
522,2.1123504682576475
523,2.1166004127458353
524,2.120849561974498
525,2.125097914836078
526,2.1293454701975594
527,2.1335922269005705
528,2.137838183761466
529,2.142083339571459
530,2.146327693096709
531,2.15057124307845
532,2.1548139882330704
533,2.159055927252234
534,2.1632970588029843
535,2.167537381527851
536,2.1717768940449633
537,2.176015594948128
538,2.180253482806982
539,2.1844905561670602
540,2.188726813549925
541,2.1929622534532514
542,2.1971968743509676
543,2.2014306746933205
544,2.205663652907029
545,2.2098958073953243
546,2.21412713653815
547,2.2183576386921797
548,2.2225873121909685
549,2.22681615534507
550,2.2310441664421026
551,2.2352713437468905
552,2.2394976855015605
553,2.2437231899256465
554,2.2479478552161916
555,2.252171679547869
556,2.2563946610730685
557,2.2606167979220304
558,2.264838088202915
559,2.2690585300019417
560,2.273278121383483
561,2.2774968603901677
562,2.281714745042985
563,2.2859317733413973
564,2.2901479432634373
565,2.2943632527658395
566,2.2985776997841025
567,2.302791282232621
568,2.3070039980048
569,2.311215844973122
570,2.3154268209893143
571,2.3196369238843793
572,2.3238461514687496
573,2.328054501532385
574,2.3322619718448614
575,2.3364685601554838
576,2.3406742641933933
577,2.344879081667663
578,2.34908301026742
579,2.353286047661916
580,2.357488191500657
581,2.361689439413496
582,2.3658897890107484
583,2.3700892378832745
584,2.3742877836025786
585,2.378485423720953
586,2.382682155771548
587,2.386877977268439
588,2.391072885706807
589,2.395266878562992
590,2.399459953294585
591,2.403652107340559
592,2.407843338121343
593,2.4120336430389533
594,2.416223019477052
595,2.420411464801085
596,2.4245989763583826
597,2.428785551478206
598,2.432971187471922
599,2.437155881633035
600,2.4413396312373288
